"Label (Grouping)","Total:","Total:!!White alone","Total:!!Black or African American alone","Total:!!American Indian and Alaska Native alone","Total:!!Asian alone","Total:!!Native Hawaiian and Other Pacific Islander alone","Total:!!Some other race alone","Total:!!Two or more races:","Total:!!Two or more races:!!Two races including Some other race","Total:!!Two or more races:!!Two races excluding Some other race, and three or more races"
"    Estimate","108,998","99,582","2,962","110","903","16","2,812","2,613","1,111","1,502"
"Lawrence County, Illinois","","","","","","","","","",""
"    Estimate","15,830","13,774","1,522","37","20","0","37","440","34","406"
"Lee County, Illinois","","","","","","","","","",""
"    Estimate","34,204","30,715","1,821","57","228","17","374","992","506","486"
"Livingston County, Illinois","","","","","","","","","",""
"    Estimate","35,757","32,804","1,400","3","285","0","505","760","170","590"
"Logan County, Illinois","","","","","","","","","",""
"    Estimate","28,818","25,561","2,133","55","112","7","119","831","84","747"
"McDonough County, Illinois","","","","","","","","","",""
"    Estimate","30,107","26,907","1,475","32","701","0","146","846","84","762"
"McHenry County, Illinois","","","","","","","","","",""
"    Estimate","307,291","278,676","4,470","278","8,278","4","4,680","10,905","4,102","6,803"
"McLean County, Illinois","","","","","","","","","",""
"    Estimate","172,164","142,367","14,295","347","8,890","17","1,251","4,997","1,253","3,744"
"Macon County, Illinois","","","","","","","","","",""
"    Estimate","104,688","80,865","16,581","191","1,215","63","549","5,224","324","4,900"
"Macoupin County, Illinois","","","","","","","","","",""
"    Estimate","45,243","43,601","449","141","178","0","159","715","129","586"
"Madison County, Illinois","","","","","","","","","",""
"    Estimate","264,403","229,173","22,987","324","2,681","27","1,845","7,366","1,415","5,951"
"Marion County, Illinois","","","","","","","","","",""
"    Estimate","37,524","34,429","1,283","56","213","2","368","1,173","97","1,076"
"Marshall County, Illinois","","","","","","","","","",""
"    Estimate","11,562","11,133","41","3","15","0","92","278","46","232"
"Mason County, Illinois","","","","","","","","","",""
"    Estimate","13,486","13,089","59","17","30","0","37","254","33","221"
"Massac County, Illinois","","","","","","","","","",""
"    Estimate","14,041","12,708","777","8","27","0","0","521","53","468"
"Menard County, Illinois","","","","","","","","","",""
"    Estimate","12,261","11,877","78","16","48","0","7","235","0","235"
"Mercer County, Illinois","","","","","","","","","",""
"    Estimate","15,503","14,943","70","22","59","0","46","363","139","224"
"Monroe County, Illinois","","","","","","","","","",""
"    Estimate","34,444","33,570","91","26","379","0","129","249","51","198"
"Montgomery County, Illinois","","","","","","","","","",""
"    Estimate","28,598","26,863","1,049","27","83","0","126","450","207","243"
"Morgan County, Illinois","","","","","","","","","",""
"    Estimate","34,012","30,284","2,350","84","225","1","212","856","227","629"
"Moultrie County, Illinois","","","","","","","","","",""
"    Estimate","14,557","14,168","121","45","23","0","45","155","51","104"
"Ogle County, Illinois","","","","","","","","","",""
"    Estimate","50,793","47,026","529","147","219","33","974","1,865","1,034","831"
"Peoria County, Illinois","","","","","","","","","",""
"    Estimate","181,111","130,441","32,104","440","7,696","2","2,721","7,707","1,150","6,557"
"Perry County, Illinois","","","","","","","","","",""
"    Estimate","21,092","18,455","1,803","12","131","0","191","500","119","381"
"Piatt County, Illinois","","","","","","","","","",""
"    Estimate","16,412","15,877","181","3","93","0","36","222","44","178"
"Pike County, Illinois","","","","","","","","","",""
"    Estimate","15,571","15,023","141","23","50","107","32","195","81","114"
"Pope County, Illinois","","","","","","","","","",""
"    Estimate","4,177","3,861","239","0","35","0","0","42","0","42"
"Pulaski County, Illinois","","","","","","","","","",""
"    Estimate","5,414","3,559","1,655","7","6","0","13","174","18","156"
"Putnam County, Illinois","","","","","","","","","",""
"    Estimate","5,720","5,494","33","0","58","0","70","65","11","54"
"Randolph County, Illinois","","","","","","","","","",""
"    Estimate","31,973","27,644","3,378","67","133","2","301","448","103","345"
"Richland County, Illinois","","","","","","","","","",""
"    Estimate","15,677","15,011","100","28","108","0","154","276","19","257"
"Rock Island County, Illinois","","","","","","","","","",""
"    Estimate","142,801","112,117","14,980","622","3,504","214","4,270","7,094","2,193","4,901"
"St. Clair County, Illinois","","","","","","","","","",""
"    Estimate","261,186","165,015","77,934","438","3,770","51","3,959","10,019","1,465","8,554"
"Saline County, Illinois","","","","","","","","","",""
"    Estimate","23,735","22,017","521","78","104","57","81","877","32","845"
"Sangamon County, Illinois","","","","","","","","","",""
"    Estimate","195,963","159,136","24,939","255","3,974","149","764","6,746","1,205","5,541"
"Schuyler County, Illinois","","","","","","","","","",""
"    Estimate","6,897","6,440","358","2","10","0","3","84","0","84"
"Scott County, Illinois","","","","","","","","","",""
"    Estimate","4,982","4,842","21","8","22","30","17","42","5","37"
"Shelby County, Illinois","","","","","","","","","",""
"    Estimate","21,623","21,158","139","12","67","10","7","230","74","156"
"Stark County, Illinois","","","","","","","","","",""
"    Estimate","5,393","5,193","32","0","53","0","11","104","24","80"
"Stephenson County, Illinois","","","","","","","","","",""
"    Estimate","44,683","37,778","4,271","76","367","0","219","1,972","251","1,721"
"Tazewell County, Illinois","","","","","","","","","",""
"    Estimate","132,524","126,432","1,547","198","1,470","28","471","2,378","514","1,864"
"Union County, Illinois","","","","","","","","","",""
"    Estimate","16,829","15,732","226","12","53","32","128","646","220","426"
"Vermilion County, Illinois","","","","","","","","","",""
"    Estimate","76,704","62,681","10,898","136","746","27","379","1,837","644","1,193"
"Wabash County, Illinois","","","","","","","","","",""
"    Estimate","11,390","10,892","21","5","204","0","32","236","73","163"
"Warren County, Illinois","","","","","","","","","",""
"    Estimate","16,981","14,914","685","177","218","0","706","281","77","204"
"Washington County, Illinois","","","","","","","","","",""
"    Estimate","13,967","13,523","91","16","109","6","84","138","16","122"
"Wayne County, Illinois","","","","","","","","","",""
"    Estimate","16,309","15,826","152","20","41","0","108","162","0","162"
"White County, Illinois","","","","","","","","","",""
"    Estimate","13,712","13,320","120","37","29","3","32","171","48","123"
"Whiteside County, Illinois","","","","","","","","","",""
"    Estimate","55,583","51,792","716","93","352","85","562","1,983","765","1,218"
"Will County, Illinois","","","","","","","","","",""
"    Estimate","689,704","496,739","77,945","2,585","38,332","539","41,027","32,537","12,844","19,693"
"Williamson County, Illinois","","","","","","","","","",""
"    Estimate","66,929","60,466","2,635","133","801","30","812","2,052","294","1,758"
"Winnebago County, Illinois","","","","","","","","","",""
"    Estimate","283,635","217,759","37,642","446","7,706","36","6,722","13,324","4,115","9,209"
"Woodford County, Illinois","","","","","","","","","",""
"    Estimate","38,503","37,215","233","20","198","0","173","664","71","593"
"Adams County, Indiana","","","","","","","","","",""
"    Estimate","35,544","33,914","352","34","91","0","673","480","256","224"
"Allen County, Indiana","","","","","","","","","",""
"    Estimate","375,520","291,192","42,609","750","15,692","139","8,470","16,668","3,332","13,336"
"Bartholomew County, Indiana","","","","","","","","","",""
"    Estimate","83,280","69,641","1,538","104","6,579","0","2,540","2,878","837","2,041"
"Benton County, Indiana","","","","","","","","","",""
"    Estimate","8,695","8,425","50","2","7","13","20","178","38","140"
"Blackford County, Indiana","","","","","","","","","",""
"    Estimate","11,926","11,577","52","29","39","0","0","229","0","229"
"Boone County, Indiana","","","","","","","","","",""
"    Estimate","66,875","61,446","1,177","74","2,122","0","296","1,760","520","1,240"
"Brown County, Indiana","","","","","","","","","",""
"    Estimate","15,093","14,576","184","0","41","0","38","254","22","232"
"Carroll County, Indiana","","","","","","","","","",""
"    Estimate","20,137","19,258","116","22","51","0","419","271","52","219"
"Cass County, Indiana","","","","","","","","","",""
"    Estimate","37,727","31,596","443","131","608","18","3,618","1,313","565","748"
"Clark County, Indiana","","","","","","","","","",""
"    Estimate","117,410","102,163","7,408","144","1,090","16","1,201","5,388","260","5,128"
"Clay County, Indiana","","","","","","","","","",""
"    Estimate","26,231","25,379","151","41","66","6","71","517","126","391"
"Clinton County, Indiana","","","","","","","","","",""
"    Estimate","32,186","29,096","185","6","92","23","1,990","794","229","565"
"Crawford County, Indiana","","","","","","","","","",""
"    Estimate","10,582","10,249","40","31","0","0","27","235","6","229"
"Daviess County, Indiana","","","","","","","","","",""
"    Estimate","33,277","30,841","571","0","76","8","816","965","441","524"
"Dearborn County, Indiana","","","","","","","","","",""
"    Estimate","49,612","48,273","347","32","275","34","76","575","5","570"
"Decatur County, Indiana","","","","","","","","","",""
"    Estimate","26,587","25,494","39","42","492","0","103","417","109","308"
"DeKalb County, Indiana","","","","","","","","","",""
"    Estimate","43,193","41,894","165","19","196","0","183","736","100","636"
"Delaware County, Indiana","","","","","","","","","",""
"    Estimate","114,461","100,501","7,780","104","1,637","105","568","3,766","765","3,001"
"Dubois County, Indiana","","","","","","","","","",""
"    Estimate","42,534","39,802","503","113","308","0","942","866","397","469"
"Elkhart County, Indiana","","","","","","","","","",""
"    Estimate","205,184","174,989","10,906","565","1,892","125","6,637","10,070","3,571","6,499"
"Fayette County, Indiana","","","","","","","","","",""
"    Estimate","23,068","21,900","601","44","10","0","85","428","328","100"
"Floyd County, Indiana","","","","","","","","","",""
"    Estimate","77,879","69,837","4,021","196","869","11","290","2,655","600","2,055"
"Fountain County, Indiana","","","","","","","","","",""
"    Estimate","16,456","16,033","65","29","86","0","20","223","13","210"
"Franklin County, Indiana","","","","","","","","","",""
"    Estimate","22,750","22,111","32","2","87","0","47","471","109","362"
"Fulton County, Indiana","","","","","","","","","",""
"    Estimate","20,069","18,792","135","32","43","7","559","501","110","391"
"Gibson County, Indiana","","","","","","","","","",""
"    Estimate","33,711","31,649","785","6","122","0","231","918","116","802"
"Grant County, Indiana","","","","","","","","","",""
"    Estimate","66,055","57,618","4,772","176","595","0","660","2,234","215","2,019"
"Greene County, Indiana","","","","","","","","","",""
"    Estimate","32,174","31,267","110","4","50","20","86","637","185","452"
"Hamilton County, Indiana","","","","","","","","","",""
"    Estimate","330,455","284,188","12,919","514","20,014","102","2,682","10,036","1,871","8,165"
"Hancock County, Indiana","","","","","","","","","",""
